@DataPoint,ua:HyperHistorian\\Configuration/EnergyPlus/BaselinePower
Timestamp,Value
2018-02-01 00:00:00,287769.73
2018-02-01 00:15:00,287769.73
2018-02-01 00:30:00,287769.73
2018-02-01 00:45:00,287769.73
2018-02-01 01:00:00,287769.73
2018-02-01 01:15:00,287769.73
2018-02-01 01:30:00,287769.73
2018-02-01 01:45:00,287769.73
2018-02-01 02:00:00,287769.73
2018-02-01 02:15:00,287769.73
2018-02-01 02:30:00,287769.73
2018-02-01 02:45:00,287769.73
2018-02-01 03:00:00,299991.93
2018-02-01 03:15:00,299991.93
2018-02-01 03:30:00,299991.93
2018-02-01 03:45:00,299991.93
2018-02-01 04:00:00,324437.68
2018-02-01 04:15:00,273175.68
2018-02-01 04:30:00,273175.68
2018-02-01 04:45:00,273175.68
2018-02-01 05:00:00,568972.88
2018-02-01 05:15:00,591256.34
2018-02-01 05:30:00,590162.09
2018-02-01 05:45:00,589868.32
2018-02-01 06:00:00,613960.53
2018-02-01 06:15:00,613687.22
2018-02-01 06:30:00,613497.16
2018-02-01 06:45:00,613364.58
2018-02-01 07:00:00,869444.82
2018-02-01 07:15:00,972181.58
2018-02-01 07:30:00,974427.64
2018-02-01 07:45:00,976570.06
2018-02-01 08:00:00,941369.54
2018-02-01 08:15:00,1245465.1
2018-02-01 08:30:00,1248079.8
2018-02-01 08:45:00,1249922.9
2018-02-01 09:00:00,1202927.1
2018-02-01 09:15:00,1204975.6
2018-02-01 09:30:00,1207366.2
2018-02-01 09:45:00,1209914.7
2018-02-01 10:00:00,1213044.9
2018-02-01 10:15:00,1216609
2018-02-01 10:30:00,1220322.3
2018-02-01 10:45:00,1224204.7
2018-02-01 11:00:00,1170037.8
2018-02-01 11:15:00,1170694.2
2018-02-01 11:30:00,1171506.5
2018-02-01 11:45:00,1172204.5
2018-02-01 12:00:00,1230566.8
2018-02-01 12:15:00,1233836.9
2018-02-01 12:30:00,1236643.1
2018-02-01 12:45:00,1239315.7
2018-02-01 13:00:00,1239566.6
2018-02-01 13:15:00,1238803.7
2018-02-01 13:30:00,1237533.6
2018-02-01 13:45:00,1235849.7
2018-02-01 14:00:00,1235246.3
2018-02-01 14:15:00,1234931.8
2018-02-01 14:30:00,1234359.6
2018-02-01 14:45:00,1233626.9
2018-02-01 15:00:00,1278801.2
2018-02-01 15:15:00,1274153.7
2018-02-01 15:30:00,1269324.8
2018-02-01 15:45:00,1264381.2
2018-02-01 16:00:00,1242957.2
2018-02-01 16:15:00,1239862.2
2018-02-01 16:30:00,1237437.7
2018-02-01 16:45:00,1235464.1
2018-02-01 17:00:00,1129542.4
2018-02-01 17:15:00,1028517.8
2018-02-01 17:30:00,1028972.2
2018-02-01 17:45:00,1030081.6
2018-02-01 18:00:00,1006055.6
2018-02-01 18:15:00,905394.11
2018-02-01 18:30:00,905145.44
2018-02-01 18:45:00,905056.86
2018-02-01 19:00:00,852630.85
2018-02-01 19:15:00,903588.84
2018-02-01 19:30:00,903403.77
2018-02-01 19:45:00,903233.39
2018-02-01 20:00:00,878642.79
2018-02-01 20:15:00,778024.75
2018-02-01 20:30:00,777665.18
2018-02-01 20:45:00,777468.52
2018-02-01 21:00:00,633438.25
2018-02-01 21:15:00,701985.29
2018-02-01 21:30:00,449038.14
2018-02-01 21:45:00,711232.31
2018-02-01 22:00:00,677703.96
2018-02-01 22:15:00,324912.29
2018-02-01 22:30:00,324912.29
2018-02-01 22:45:00,324912.29
2018-02-01 23:00:00,312690.09
2018-02-01 23:15:00,287769.73
2018-02-01 23:30:00,287769.73
2018-02-01 23:45:00,287769.73
2018-02-02 00:00:00,287769.73
2018-02-02 00:15:00,287769.73
2018-02-02 00:30:00,287769.73
2018-02-02 00:45:00,287769.73
2018-02-02 01:00:00,287769.73
2018-02-02 01:15:00,287769.73
2018-02-02 01:30:00,287769.73
2018-02-02 01:45:00,287769.73
2018-02-02 02:00:00,287769.73
2018-02-02 02:15:00,287769.73
2018-02-02 02:30:00,287769.73
2018-02-02 02:45:00,287769.73
2018-02-02 03:00:00,299991.93
2018-02-02 03:15:00,299991.93
2018-02-02 03:30:00,299991.93
2018-02-02 03:45:00,299991.93
2018-02-02 04:00:00,324437.68
2018-02-02 04:15:00,273175.68
2018-02-02 04:30:00,273175.68
2018-02-02 04:45:00,273175.68
2018-02-02 05:00:00,575677.73
2018-02-02 05:15:00,601235.56
2018-02-02 05:30:00,602556.44
2018-02-02 05:45:00,603456.58
2018-02-02 06:00:00,628377.49
2018-02-02 06:15:00,628892.88
2018-02-02 06:30:00,628900.16
2018-02-02 06:45:00,629039.8
2018-02-02 07:00:00,883982.69
2018-02-02 07:15:00,985496.71
2018-02-02 07:30:00,985391.69
2018-02-02 07:45:00,984877.61
2018-02-02 08:00:00,948879.72
2018-02-02 08:15:00,1253301.8
2018-02-02 08:30:00,1256710.9
2018-02-02 08:45:00,1259913.8
2018-02-02 09:00:00,1213512.9
2018-02-02 09:15:00,1215548.2
2018-02-02 09:30:00,1217103.2
2018-02-02 09:45:00,1218251.8
2018-02-02 10:00:00,1221023.5
2018-02-02 10:15:00,1224595
2018-02-02 10:30:00,1228772.1
2018-02-02 10:45:00,1233391.2
2018-02-02 11:00:00,1181626.1
2018-02-02 11:15:00,1185411
2018-02-02 11:30:00,1190228.5
2018-02-02 11:45:00,1195399
2018-02-02 12:00:00,1258186.9
2018-02-02 12:15:00,1265833.5
2018-02-02 12:30:00,1271647.4
2018-02-02 12:45:00,1276834.7
2018-02-02 13:00:00,1281362.2
2018-02-02 13:15:00,1285355
2018-02-02 13:30:00,1289376.6
2018-02-02 13:45:00,1293450.2
2018-02-02 14:00:00,1293698
2018-02-02 14:15:00,1293202.1
2018-02-02 14:30:00,1291996.5
2018-02-02 14:45:00,1290816.2
2018-02-02 15:00:00,1339983.6
2018-02-02 15:15:00,1340218.3
2018-02-02 15:30:00,1340793.3
2018-02-02 15:45:00,1341191.1
2018-02-02 16:00:00,1321104.7
2018-02-02 16:15:00,1319565.4
2018-02-02 16:30:00,1319025.4
2018-02-02 16:45:00,1317487.5
2018-02-02 17:00:00,1205311.7
2018-02-02 17:15:00,1097540.4
2018-02-02 17:30:00,1093375.5
2018-02-02 17:45:00,1090553.5
2018-02-02 18:00:00,1058409.3
2018-02-02 18:15:00,948367.48
2018-02-02 18:30:00,938843.23
2018-02-02 18:45:00,930145.45
2018-02-02 19:00:00,867109.56
2018-02-02 19:15:00,908671.97
2018-02-02 19:30:00,900040.11
2018-02-02 19:45:00,892931.89
2018-02-02 20:00:00,856432.23
2018-02-02 20:15:00,739225.25
2018-02-02 20:30:00,724676.78
2018-02-02 20:45:00,712176.65
2018-02-02 21:00:00,583683.08
2018-02-02 21:15:00,628929.74
2018-02-02 21:30:00,449038.14
2018-02-02 21:45:00,642709.59
2018-02-02 22:00:00,594836.47
2018-02-02 22:15:00,324912.29
2018-02-02 22:30:00,324912.29
2018-02-02 22:45:00,324912.29
2018-02-02 23:00:00,312690.09
2018-02-02 23:15:00,287769.73
2018-02-02 23:30:00,287769.73
2018-02-02 23:45:00,287769.73
