Time,BASEMENT::Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT::Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID::Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID::Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s] 
00:15:00,0.000000E+00,3.967711E+04,0.000000E+00,3.471119E+00,0.000000E+00,4.763471E+04,0.000000E+00,4.167293E+00,0.000000E+00,4.962196E+05,0.000000E+00,4.341136E+01,4.544839E+04,5.412220E+04,1.536891E+00,4.734803E+00,1.244405E+04,6.310890E+03,4.206741E-01,5.522876E-01,8.355639E+03,4.244526E+03,2.824629E-01,3.714554E-01,1.219157E+04,5.984962E+03,4.121387E-01,5.237652E-01,8.337434E+03,4.819147E+03,2.818475E-01,4.217408E-01,1.424812E+05,6.466242E+04,4.816652E+00,5.658818E+00,9.394656E+04,4.333110E+04,3.175894E+00,3.792069E+00,1.410416E+05,6.171914E+04,4.767985E+00,5.401250E+00,9.579671E+04,5.085885E+04,3.238441E+00,4.450810E+00,2.246092E+04,6.915783E+03,7.593283E-01,6.052186E-01,1.462485E+04,4.622397E+03,4.944138E-01,4.045210E-01,2.237242E+04,6.648550E+03,7.563358E-01,5.818331E-01,1.488004E+04,5.345769E+03,5.030413E-01,4.678218E-01 
00:30:00,0.000000E+00,3.958545E+04,0.000000E+00,3.463063E+00,0.000000E+00,4.749627E+04,0.000000E+00,4.155125E+00,0.000000E+00,4.946147E+05,0.000000E+00,4.327039E+01,4.560846E+04,5.356252E+04,1.542304E+00,4.685785E+00,1.243524E+04,6.228167E+03,4.203764E-01,5.450485E-01,8.349954E+03,4.184835E+03,2.822707E-01,3.662319E-01,1.218263E+04,5.909677E+03,4.118366E-01,5.171770E-01,8.331751E+03,4.744116E+03,2.816553E-01,4.151748E-01,1.423670E+05,6.369948E+04,4.812791E+00,5.574555E+00,9.387359E+04,4.265245E+04,3.173427E+00,3.732683E+00,1.409267E+05,6.082983E+04,4.764102E+00,5.323430E+00,9.572374E+04,4.983416E+04,3.235974E+00,4.361141E+00,2.248124E+04,6.769985E+03,7.600153E-01,5.924600E-01,1.463801E+04,4.522500E+03,4.948590E-01,3.957791E-01,2.239284E+04,6.510624E+03,7.570261E-01,5.697633E-01,1.489320E+04,5.210452E+03,5.034860E-01,4.559803E-01 
00:45:00,0.000000E+00,3.949481E+04,0.000000E+00,3.455107E+00,0.000000E+00,4.736148E+04,0.000000E+00,4.143294E+00,0.000000E+00,4.930548E+05,0.000000E+00,4.313353E+01,4.575936E+04,5.301673E+04,1.547407E+00,4.638003E+00,1.242645E+04,6.146937E+03,4.200791E-01,5.379376E-01,8.344280E+03,4.126241E+03,2.820788E-01,3.611025E-01,1.217371E+04,5.835763E+03,4.115350E-01,5.107066E-01,8.326077E+03,4.670583E+03,2.814635E-01,4.087379E-01,1.422528E+05,6.275294E+04,4.808931E+00,5.491698E+00,9.380065E+04,4.198605E+04,3.170960E+00,3.674348E+00,1.408119E+05,5.995766E+04,4.760220E+00,5.247080E+00,9.565080E+04,4.884814E+04,3.233507E+00,4.274836E+00,2.250028E+04,6.627452E+03,7.606588E-01,5.799842E-01,1.465035E+04,4.424873E+03,4.952760E-01,3.872338E-01,2.241196E+04,6.375313E+03,7.576727E-01,5.579195E-01,1.490552E+04,5.080037E+03,5.039025E-01,4.445657E-01 
01:00:00,0.000000E+00,3.940499E+04,0.000000E+00,3.447227E+00,0.000000E+00,4.722928E+04,0.000000E+00,4.131701E+00,0.000000E+00,4.915309E+05,0.000000E+00,4.299995E+01,4.590230E+04,5.248422E+04,1.552241E+00,4.591394E+00,1.241768E+04,6.067143E+03,4.197826E-01,5.309511E-01,8.338620E+03,4.068750E+03,2.818875E-01,3.560689E-01,1.216481E+04,5.763135E+03,4.112343E-01,5.043475E-01,8.320419E+03,4.598132E+03,2.812722E-01,4.023946E-01,1.421388E+05,6.182409E+04,4.805076E+00,5.410375E+00,9.372780E+04,4.133295E+04,3.168497E+00,3.617168E+00,1.406973E+05,5.910273E+04,4.756344E+00,5.172229E+00,9.557795E+04,4.789552E+04,3.231044E+00,4.191444E+00,2.251818E+04,6.487624E+03,7.612643E-01,5.677437E-01,1.466195E+04,4.329184E+03,4.956682E-01,3.788571E-01,2.242995E+04,6.242879E+03,7.582809E-01,5.463262E-01,1.491710E+04,4.953993E+03,5.042942E-01,4.335327E-01 
01:15:00,0.000000E+00,3.931585E+04,0.000000E+00,3.439412E+00,0.000000E+00,4.709900E+04,0.000000E+00,4.120284E+00,0.000000E+00,4.900363E+05,0.000000E+00,4.286900E+01,4.603800E+04,5.196337E+04,1.556830E+00,4.545812E+00,1.240893E+04,5.990431E+03,4.194870E-01,5.242339E-01,8.332978E+03,4.013473E+03,2.816967E-01,3.512287E-01,1.215595E+04,5.693430E+03,4.109345E-01,4.982438E-01,8.314778E+03,4.528087E+03,2.810815E-01,3.962616E-01,1.420250E+05,6.093065E+04,4.801227E+00,5.332147E+00,9.365506E+04,4.070480E+04,3.166038E+00,3.562168E+00,1.405828E+05,5.828203E+04,4.752473E+00,5.100369E+00,9.550521E+04,4.698138E+04,3.228585E+00,4.111413E+00,2.253507E+04,6.352547E+03,7.618353E-01,5.559185E-01,1.467288E+04,4.236755E+03,4.960379E-01,3.707655E-01,2.244691E+04,6.115031E+03,7.588543E-01,5.351339E-01,1.492802E+04,4.832782E+03,5.046635E-01,4.229223E-01 
01:30:00,0.000000E+00,3.922729E+04,0.000000E+00,3.431651E+00,0.000000E+00,4.697024E+04,0.000000E+00,4.109004E+00,0.000000E+00,4.885665E+05,0.000000E+00,4.274025E+01,4.616706E+04,5.145339E+04,1.561194E+00,4.501184E+00,1.240022E+04,5.916921E+03,4.191923E-01,5.177967E-01,8.327354E+03,3.960491E+03,2.815066E-01,3.465892E-01,1.214711E+04,5.626764E+03,4.106356E-01,4.924058E-01,8.309155E+03,4.460599E+03,2.808914E-01,3.903523E-01,1.419113E+05,6.007463E+04,4.797385E+00,5.257192E+00,9.358245E+04,4.010272E+04,3.163583E+00,3.509450E+00,1.404686E+05,5.749705E+04,4.748610E+00,5.031635E+00,9.543260E+04,4.610754E+04,3.226130E+00,4.034908E+00,2.255103E+04,6.222351E+03,7.623747E-01,5.445206E-01,1.468321E+04,4.147708E+03,4.963871E-01,3.629698E-01,2.246293E+04,5.991929E+03,7.593960E-01,5.243570E-01,1.493834E+04,4.716354E+03,5.050122E-01,4.127300E-01 
01:45:00,0.000000E+00,3.918310E+04,0.000000E+00,3.427774E+00,0.000000E+00,4.691876E+04,0.000000E+00,4.104487E+00,0.000000E+00,4.878893E+05,0.000000E+00,4.268089E+01,4.628997E+04,5.101479E+04,1.565350E+00,4.462804E+00,1.240204E+04,5.855078E+03,4.192538E-01,5.123808E-01,8.328522E+03,3.915233E+03,2.815461E-01,3.426259E-01,1.214893E+04,5.571596E+03,4.106973E-01,4.875742E-01,8.310322E+03,4.401167E+03,2.809308E-01,3.851482E-01,1.419329E+05,5.934115E+04,4.798115E+00,5.192963E+00,9.359629E+04,3.958135E+04,3.164051E+00,3.463796E+00,1.404902E+05,5.683289E+04,4.749342E+00,4.973474E+00,9.544644E+04,4.532869E+04,3.226598E+00,3.966719E+00,2.256612E+04,6.103766E+03,7.628852E-01,5.341390E-01,1.469298E+04,4.066323E+03,4.967174E-01,3.558450E-01,2.247809E+04,5.880225E+03,7.599086E-01,5.145777E-01,1.494809E+04,4.609082E+03,5.053420E-01,4.033393E-01 
02:00:00,0.000000E+00,3.914025E+04,0.000000E+00,3.424016E+00,0.000000E+00,4.687069E+04,0.000000E+00,4.100270E+00,0.000000E+00,4.872542E+05,0.000000E+00,4.262521E+01,4.640877E+04,5.058903E+04,1.569368E+00,4.425547E+00,1.240386E+04,5.795937E+03,4.193156E-01,5.072016E-01,8.329696E+03,3.871922E+03,2.815858E-01,3.388332E-01,1.215077E+04,5.518963E+03,4.107593E-01,4.829647E-01,8.311496E+03,4.344013E+03,2.809705E-01,3.801439E-01,1.419547E+05,5.863978E+04,4.798850E+00,5.131549E+00,9.361022E+04,3.908240E+04,3.164522E+00,3.420107E+00,1.405120E+05,5.619898E+04,4.750079E+00,4.917964E+00,9.546037E+04,4.458575E+04,3.227069E+00,3.901677E+00,2.258061E+04,5.989650E+03,7.633750E-01,5.241491E-01,1.470235E+04,3.987972E+03,4.970343E-01,3.489860E-01,2.249264E+04,5.772745E+03,7.604003E-01,5.051686E-01,1.495745E+04,4.506248E+03,5.056584E-01,3.943376E-01 
02:15:00,0.000000E+00,3.909810E+04,0.000000E+00,3.420322E+00,0.000000E+00,4.682426E+04,0.000000E+00,4.096201E+00,0.000000E+00,4.866424E+05,0.000000E+00,4.257162E+01,4.652330E+04,5.017412E+04,1.573241E+00,4.389244E+00,1.240570E+04,5.740174E+03,4.193776E-01,5.023186E-01,8.330874E+03,3.831009E+03,2.816256E-01,3.352506E-01,1.215261E+04,5.469547E+03,4.108216E-01,4.786372E-01,8.312674E+03,4.289597E+03,2.810103E-01,3.753795E-01,1.419765E+05,5.797754E+04,4.799588E+00,5.073564E+00,9.362421E+04,3.861051E+04,3.164995E+00,3.378790E+00,1.405339E+05,5.560230E+04,4.750819E+00,4.865718E+00,9.547436E+04,4.388267E+04,3.227542E+00,3.840127E+00,2.259450E+04,5.880670E+03,7.638447E-01,5.146091E-01,1.471134E+04,3.913112E+03,4.973380E-01,3.424328E-01,2.250658E+04,5.670178E+03,7.608717E-01,4.961900E-01,1.496642E+04,4.408237E+03,5.059616E-01,3.857584E-01 
02:30:00,0.000000E+00,3.905663E+04,0.000000E+00,3.416689E+00,0.000000E+00,4.677911E+04,0.000000E+00,4.092246E+00,0.000000E+00,4.860503E+05,0.000000E+00,4.251977E+01,4.663331E+04,4.976871E+04,1.576961E+00,4.353774E+00,1.240753E+04,5.687807E+03,4.194396E-01,4.977331E-01,8.332052E+03,3.792498E+03,2.816654E-01,3.318786E-01,1.215445E+04,5.423370E+03,4.108838E-01,4.745936E-01,8.313852E+03,4.237931E+03,2.810502E-01,3.708562E-01,1.419983E+05,5.735480E+04,4.800326E+00,5.019040E+00,9.363821E+04,3.816581E+04,3.165468E+00,3.339856E+00,1.405558E+05,5.504315E+04,4.751560E+00,4.816760E+00,9.548837E+04,4.321887E+04,3.228016E+00,3.782018E+00,2.260778E+04,5.776758E+03,7.642935E-01,5.055133E-01,1.471992E+04,3.841694E+03,4.976281E-01,3.361813E-01,2.251990E+04,5.572457E+03,7.613222E-01,4.876359E-01,1.497499E+04,4.314927E+03,5.062513E-01,3.775910E-01 
