TotalLoad,OtherLoad,HVACLoad,Ambient,Humidity,DOW,TOD,ClgSP,KitchenClgSP,GuestClgSP,HtgSP,KitchenHtgSP,GuestHtgSP,SupplyAirSP,ChwSP
142135.49041,92324.48945,49811.00096,  14.50000,  72.75000,   1.00000,   0.25000,  28.74111,  28.74111,  22.74111,  16.00000,  16.00000,  21.00000,  12.37055,   4.81166
183559.10020,92528.82867,91030.27154,  15.70000,  76.50000,   1.00000,   0.50000,  28.37683,  28.37683,  22.37683,  16.00000,  16.00000,  21.00000,  12.18842,   4.26525
139680.78176,92349.81380,47330.96796,  16.90000,  80.25000,   1.00000,   0.75000,  31.49205,  31.49205,  25.49205,  16.00000,  16.00000,  21.00000,  13.74603,   8.93808
148650.57505,92436.90241,56213.67263,  18.10000,  84.00000,   1.00000,   1.00000,  28.34650,  28.34650,  22.34650,  16.00000,  16.00000,  21.00000,  12.17325,   4.21974
116491.98634,75078.42851,41413.55782,  18.12500,  84.75000,   1.00000,   1.25000,  29.47056,  29.47056,  23.47056,  16.00000,  16.00000,  21.00000,  12.73528,   5.90584
107676.46869,75107.54909,32568.91960,  18.15000,  85.50000,   1.00000,   1.50000,  31.60984,  31.60984,  25.60984,  16.00000,  16.00000,  21.00000,  13.80492,   9.11476
110828.29440,75110.08244,35718.21196,  18.17500,  86.25000,   1.00000,   1.75000,  30.88601,  30.88601,  24.88601,  16.00000,  16.00000,  21.00000,  13.44300,   8.02901
116416.26207,75112.02188,41304.24019,  18.20000,  87.00000,   1.00000,   2.00000,  29.81247,  29.81247,  23.81247,  16.00000,  16.00000,  21.00000,  12.90624,   6.41871
215141.82669,75113.09295,140028.73374,  18.20000,  86.25000,   1.00000,   2.25000,  28.16997,  28.16997,  22.16997,  16.00000,  16.00000,  21.00000,  12.08499,   3.95496
193735.62994,75083.10656,118652.52338,  18.20000,  85.50000,   1.00000,   2.50000,  28.14045,  28.14045,  22.14045,  16.00000,  16.00000,  21.00000,  12.07022,   3.91067
106696.36283,74934.00816,31762.35467,  18.20000,  84.75000,   1.00000,   2.75000,  31.36955,  31.36955,  25.36955,  16.00000,  16.00000,  21.00000,  13.68477,   8.75432
183695.41206,75070.45970,108624.95236,  18.20000,  84.00000,   1.00000,   3.00000,  28.11763,  28.11763,  22.11763,  16.00000,  16.00000,  21.00000,  12.05881,   3.87644
181612.52669,81505.64896,100106.87773,  18.22500,  83.25000,   1.00000,   3.25000,  28.17133,  28.17133,  22.17133,  16.00000,  16.00000,  21.00000,  12.08567,   3.95700
114638.19400,81537.28619,33100.90781,  18.25000,  82.50000,   1.00000,   3.50000,  30.05850,  30.05850,  24.05850,  16.00000,  16.00000,  21.00000,  13.02925,   6.78775
164744.81795,81673.45310,83071.36485,  18.27500,  81.75000,   1.00000,   3.75000,  28.79888,  28.79888,  22.79888,  16.00000,  16.00000,  21.00000,  12.39944,   4.89832
120568.10751,81505.72361,39062.38390,  18.30000,  81.00000,   1.00000,   4.00000,  31.43245,  31.43245,  25.43245,  16.00000,  16.00000,  21.00000,  13.71623,   8.84868
127159.70256,93736.59767,33423.10489,  18.17500,  81.00000,   1.00000,   4.25000,  30.31295,  30.31295,  24.31295,  16.00000,  16.00000,  21.00000,  13.15648,   7.16943
170656.76536,77109.49066,93547.27470,  18.05000,  81.00000,   1.00000,   4.50000,  28.33706,  28.33706,  22.33706,  16.00000,  16.00000,  21.00000,  12.16853,   4.20559
154454.69382,76935.03546,77519.65836,  17.92500,  81.00000,   1.00000,   4.75000,  28.83117,  28.83117,  22.83117,  16.00000,  16.00000,  21.00000,  12.41559,   4.94676
120566.13472,76964.63920,43601.49552,  17.80000,  81.00000,   1.00000,   5.00000,  28.16203,  28.16203,  22.16203,  16.00000,  16.00000,  21.00000,  12.08102,   3.94305
204506.45569,148493.09210,56013.36359,  17.37500,  81.00000,   1.00000,   5.25000,  29.37704,  29.37704,  23.37704,  16.00000,  16.00000,  21.00000,  12.68852,   5.76556
185139.17585,148422.34010,36716.83575,  16.95000,  81.00000,   1.00000,   5.50000,  31.85715,  31.85715,  25.85715,  16.00000,  16.00000,  21.00000,  13.92858,   9.48573
192767.47214,148436.18037,44331.29177,  16.52500,  81.00000,   1.00000,   5.75000,  28.60348,  28.60348,  22.60348,  16.00000,  16.00000,  21.00000,  12.30174,   4.60522
233852.39578,148471.70470,85380.69108,  16.10000,  81.00000,   1.00000,   6.00000,  28.26403,  28.26403,  22.26403,  16.00000,  16.00000,  21.00000,  12.13201,   4.09604
260571.39709,201371.35176,59200.04533,  15.97500,  80.25000,   1.00000,   6.25000,  29.28506,  29.28506,  23.28506,  16.00000,  16.00000,  21.00000,  12.64253,   5.62759
266016.43252,201357.38998,64659.04254,  15.85000,  79.50000,   1.00000,   6.50000,  28.96904,  28.96904,  22.96904,  16.00000,  16.00000,  21.00000,  12.48452,   5.15356
264132.93623,201356.08768,62776.84855,  15.72500,  78.75000,   1.00000,   6.75000,  29.02747,  29.02747,  23.02747,  16.00000,  16.00000,  21.00000,  12.51374,   5.24121
246741.38236,201352.92893,45388.45343,  15.60000,  78.00000,   1.00000,   7.00000,  30.43109,  30.43109,  24.43109,  16.00000,  16.00000,  21.00000,  13.21555,   7.34664
291916.57916,233034.98363,58881.59553,  15.87500,  76.75000,   1.00000,   7.25000,  29.37809,  29.37809,  23.37809,  16.00000,  16.00000,  21.00000,  12.68904,   5.76713
275151.54493,233028.94008,42122.60485,  16.15000,  75.50000,   1.00000,   7.50000,  25.31525,  27.31525,  25.31525,  21.00000,  19.00000,  21.00000,  13.65763,   8.67288
304703.20986,233044.25532,71658.95454,  16.42500,  74.25000,   1.00000,   7.75000,  23.17582,  25.17582,  23.17582,  21.00000,  19.00000,  21.00000,  12.58791,   5.46372
273563.49271,233024.64602,40538.84669,  16.70000,  73.00000,   1.00000,   8.00000,  25.87267,  27.87267,  25.87267,  21.00000,  19.00000,  21.00000,  13.93633,   9.50900
229234.95278,177149.44290,52085.50987,  17.25000,  70.50000,   1.00000,   8.25000,  24.89231,  26.89231,  24.89231,  21.00000,  19.00000,  21.00000,  13.44615,   8.03846
221241.28689,177135.37628,44105.91061,  17.80000,  68.00000,   1.00000,   8.50000,  25.81531,  27.81531,  25.81531,  21.00000,  19.00000,  21.00000,  13.90766,   9.42297
224417.13087,177146.04784,47271.08303,  18.35000,  65.50000,   1.00000,   8.75000,  25.61147,  27.61147,  25.61147,  21.00000,  19.00000,  21.00000,  13.80574,   9.11721
283071.36085,177153.45389,105917.90696,  18.90000,  63.00000,   1.00000,   9.00000,  22.70617,  24.70617,  22.70617,  21.00000,  19.00000,  21.00000,  12.35308,   4.75925
226922.29902,132201.64042,94720.65860,  19.17500,  66.25000,   1.00000,   9.25000,  23.22069,  25.22069,  23.22069,  21.00000,  19.00000,  21.00000,  12.61034,   5.53103
193764.73345,132229.90332,61534.83012,  19.45000,  69.50000,   1.00000,   9.50000,  24.73160,  26.73160,  24.73160,  21.00000,  19.00000,  21.00000,  13.36580,   7.79740
263639.37042,132261.44673,131377.92368,  19.72500,  72.75000,   1.00000,   9.75000,  22.19911,  24.19911,  22.19911,  21.00000,  19.00000,  21.00000,  12.09956,   3.99867
178247.96178,132212.46768,46035.49410,  20.00000,  76.00000,   1.00000,  10.00000,  25.86222,  27.86222,  25.86222,  21.00000,  19.00000,  21.00000,  13.93111,   9.49332
203620.44914,129077.47492,74542.97422,  20.27500,  68.75000,   1.00000,  10.25000,  24.24502,  26.24502,  24.24502,  21.00000,  19.00000,  21.00000,  13.12251,   7.06753
191633.62089,127712.59651,63921.02438,  20.55000,  61.50000,   1.00000,  10.50000,  24.47377,  26.47377,  24.47377,  21.00000,  19.00000,  21.00000,  13.23688,   7.41065
228900.50235,129063.85447,99836.64788,  20.82500,  54.25000,   1.00000,  10.75000,  22.93793,  24.93793,  22.93793,  21.00000,  19.00000,  21.00000,  12.46897,   5.10690
236395.76890,128374.00380,108021.76510,  21.10000,  47.00000,   1.00000,  11.00000,  22.81920,  24.81920,  22.81920,  21.00000,  19.00000,  21.00000,  12.40960,   4.92880
179739.51970,127803.47193,51936.04777,  21.37500,  45.50000,   1.00000,  11.25000,  25.25251,  27.25251,  25.25251,  21.00000,  19.00000,  21.00000,  13.62625,   8.57876
207389.99294,127852.04984,79537.94310,  21.65000,  44.00000,   1.00000,  11.50000,  24.04094,  26.04094,  24.04094,  21.00000,  19.00000,  21.00000,  13.02047,   6.76141
203696.02551,127830.52616,75865.49935,  21.92500,  42.50000,   1.00000,  11.75000,  24.21766,  26.21766,  24.21766,  21.00000,  19.00000,  21.00000,  13.10883,   7.02648
228518.97273,127835.08549,100683.88724,  22.20000,  41.00000,   1.00000,  12.00000,  23.41475,  25.41475,  23.41475,  21.00000,  19.00000,  21.00000,  12.70737,   5.82212
212492.90840,108878.36562,103614.54278,  22.47500,  40.25000,   1.00000,  12.25000,  23.16254,  25.16254,  23.16254,  21.00000,  19.00000,  21.00000,  12.58127,   5.44381
215494.76009,108873.08910,106621.67099,  22.75000,  39.50000,   1.00000,  12.50000,  22.98125,  24.98125,  22.98125,  21.00000,  19.00000,  21.00000,  12.49063,   5.17188
162769.67122,108872.24386,53897.42736,  23.02500,  38.75000,   1.00000,  12.75000,  24.89590,  26.89590,  24.89590,  21.00000,  19.00000,  21.00000,  13.44795,   8.04385
208236.22226,108899.92675,99336.29551,  23.30000,  38.00000,   1.00000,  13.00000,  23.28119,  25.28119,  23.28119,  21.00000,  19.00000,  21.00000,  12.64059,   5.62178
