Time,VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W],VAV_3:Des Heat Mass Flow [kg/s],VAV_3:Des Cool Mass Flow [kg/s],VAV_3:Des Heat Cap [W],VAV_3:Des Sens Cool Cap [W],VAV_5:Des Heat Mass Flow [kg/s],VAV_5:Des Cool Mass Flow [kg/s],VAV_5:Des Heat Cap [W],VAV_5:Des Sens Cool Cap [W] 
00:15:00,3.861484E+00,8.028601E+00,1.125651E+05,8.543535E+04,4.131173E+01,8.341002E+01,1.134158E+06,8.895092E+05,5.386514E+00,9.036282E+00,9.456874E+04,9.677530E+04,1.409379E+00,4.616588E+00,5.282525E+04,4.949886E+04 
00:30:00,3.860175E+00,7.978347E+00,1.125603E+05,8.441584E+04,4.129487E+01,8.280872E+01,1.134113E+06,8.782027E+05,5.396728E+00,8.910691E+00,9.452464E+04,9.490804E+04,1.409379E+00,4.605874E+00,5.282525E+04,4.915136E+04 
00:45:00,3.858868E+00,7.929165E+00,1.125555E+05,8.340829E+04,4.127801E+01,8.222259E+01,1.134068E+06,8.670662E+05,5.406340E+00,8.788249E+00,9.448314E+04,9.307609E+04,1.409379E+00,4.595292E+00,5.282525E+04,4.880525E+04 
01:00:00,3.857565E+00,7.880866E+00,1.125507E+05,8.241060E+04,4.126118E+01,8.165025E+01,1.134023E+06,8.560840E+05,5.415425E+00,8.668745E+00,9.444392E+04,9.127714E+04,1.409379E+00,4.584812E+00,5.282525E+04,4.846023E+04 
01:15:00,3.856266E+00,7.834035E+00,1.125459E+05,8.158091E+04,4.124437E+01,8.109688E+01,1.133977E+06,8.468301E+05,5.424034E+00,8.552634E+00,9.440675E+04,8.966783E+04,1.409379E+00,4.574418E+00,5.282525E+04,4.819189E+04 
01:30:00,3.854971E+00,7.788677E+00,1.125411E+05,8.076775E+04,4.122759E+01,8.056267E+01,1.133932E+06,8.377913E+05,5.432204E+00,8.439863E+00,9.437147E+04,8.809607E+04,1.409379E+00,4.564096E+00,5.282525E+04,4.792432E+04 
01:45:00,3.855239E+00,7.756847E+00,1.125421E+05,8.010679E+04,4.123078E+01,8.016953E+01,1.133941E+06,8.303396E+05,5.439971E+00,8.340038E+00,9.433794E+04,8.666995E+04,1.409379E+00,4.558940E+00,5.282525E+04,4.771487E+04 
02:00:00,3.855509E+00,7.726520E+00,1.125431E+05,7.946271E+04,4.123399E+01,7.979535E+01,1.133949E+06,8.231010E+05,5.447462E+00,8.243591E+00,9.430560E+04,8.528181E+04,1.409379E+00,4.553941E+00,5.282525E+04,4.750718E+04 
02:15:00,3.855781E+00,7.697756E+00,1.125441E+05,7.891193E+04,4.123722E+01,7.944066E+01,1.133958E+06,8.168387E+05,5.454671E+00,8.150552E+00,9.427447E+04,8.400772E+04,1.409379E+00,4.549029E+00,5.282525E+04,4.733831E+04 
02:30:00,3.856052E+00,7.670519E+00,1.125451E+05,7.837829E+04,4.124044E+01,7.910501E+01,1.133967E+06,8.107902E+05,5.461586E+00,8.060726E+00,9.424462E+04,8.276973E+04,1.409379E+00,4.544196E+00,5.282525E+04,4.717032E+04 
02:45:00,3.856323E+00,7.644136E+00,1.125461E+05,7.785422E+04,4.124367E+01,7.878134E+01,1.133976E+06,8.048763E+05,5.468215E+00,7.973486E+00,9.421600E+04,8.156083E+04,1.409379E+00,4.539439E+00,5.282525E+04,4.700317E+04 
