Time,VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W],VAV_3:Des Heat Mass Flow [kg/s],VAV_3:Des Cool Mass Flow [kg/s],VAV_3:Des Heat Cap [W],VAV_3:Des Sens Cool Cap [W],VAV_5:Des Heat Mass Flow [kg/s],VAV_5:Des Cool Mass Flow [kg/s],VAV_5:Des Heat Cap [W],VAV_5:Des Sens Cool Cap [W] 
00:05:00,3.902354E+00,7.980695E+00,1.146121E+05,8.511467E+04,4.172655E+01,8.275430E+01,1.155004E+06,8.843155E+05,5.412964E+00,8.915054E+00,9.672704E+04,9.562977E+04,1.436615E+00,4.610293E+00,5.384608E+04,4.953627E+04 
00:10:00,3.900914E+00,7.956062E+00,1.146066E+05,8.468306E+04,4.170786E+01,8.247579E+01,1.154952E+06,8.796373E+05,5.415995E+00,8.866848E+00,9.671395E+04,9.493289E+04,1.436615E+00,4.603422E+00,5.384608E+04,4.938173E+04 
00:15:00,3.899477E+00,7.931494E+00,1.146011E+05,8.425219E+04,4.168920E+01,8.219837E+01,1.154899E+06,8.749714E+05,5.418996E+00,8.818904E+00,9.670099E+04,9.423895E+04,1.436615E+00,4.596543E+00,5.384608E+04,4.922712E+04 
00:20:00,3.898042E+00,7.907014E+00,1.145956E+05,8.382231E+04,4.167055E+01,8.192232E+01,1.154847E+06,8.703210E+05,5.421956E+00,8.771255E+00,9.668821E+04,9.354835E+04,1.436615E+00,4.589659E+00,5.384608E+04,4.907244E+04 
00:25:00,3.896610E+00,7.882638E+00,1.145901E+05,8.339361E+04,4.165192E+01,8.164782E+01,1.154795E+06,8.656881E+05,5.424873E+00,8.723921E+00,9.667561E+04,9.286129E+04,1.436615E+00,4.582771E+00,5.384608E+04,4.891772E+04 
00:30:00,3.895179E+00,7.858378E+00,1.145846E+05,8.296621E+04,4.163332E+01,8.137498E+01,1.154742E+06,8.610739E+05,5.427746E+00,8.676917E+00,9.666320E+04,9.217794E+04,1.436615E+00,4.575882E+00,5.384608E+04,4.876298E+04 
00:35:00,3.895271E+00,7.846152E+00,1.145850E+05,8.267423E+04,4.163440E+01,8.122430E+01,1.154745E+06,8.578344E+05,5.430578E+00,8.639810E+00,9.665097E+04,9.160598E+04,1.436615E+00,4.574019E+00,5.384608E+04,4.866480E+04 
00:40:00,3.895363E+00,7.834240E+00,1.145854E+05,8.238580E+04,4.163549E+01,8.107725E+01,1.154748E+06,8.546357E+05,5.433366E+00,8.603238E+00,9.663893E+04,9.104004E+04,1.436615E+00,4.572231E+00,5.384608E+04,4.856747E+04 
00:45:00,3.895454E+00,7.822466E+00,1.145857E+05,8.209890E+04,4.163658E+01,8.093201E+01,1.154751E+06,8.514574E+05,5.436113E+00,8.567016E+00,9.662707E+04,9.047802E+04,1.436615E+00,4.570463E+00,5.384608E+04,4.847036E+04 
00:50:00,3.895546E+00,7.810804E+00,1.145861E+05,8.181326E+04,4.163767E+01,8.078834E+01,1.154754E+06,8.482966E+05,5.438818E+00,8.531113E+00,9.661539E+04,8.991958E+04,1.436615E+00,4.568712E+00,5.384608E+04,4.837345E+04 
00:55:00,3.895637E+00,7.799237E+00,1.145864E+05,8.152869E+04,4.163876E+01,8.064606E+01,1.154757E+06,8.451514E+05,5.441483E+00,8.495507E+00,9.660388E+04,8.936449E+04,1.436615E+00,4.566976E+00,5.384608E+04,4.827670E+04 
01:00:00,3.895729E+00,7.787752E+00,1.145868E+05,8.124503E+04,4.163985E+01,8.050502E+01,1.154761E+06,8.420201E+05,5.444107E+00,8.460182E+00,9.659255E+04,8.881255E+04,1.436615E+00,4.565254E+00,5.384608E+04,4.818010E+04 
01:05:00,3.895820E+00,7.776543E+00,1.145871E+05,8.101596E+04,4.164093E+01,8.036724E+01,1.154764E+06,8.394403E+05,5.446693E+00,8.425336E+00,9.658138E+04,8.831748E+04,1.436615E+00,4.563543E+00,5.384608E+04,4.810938E+04 
01:10:00,3.895911E+00,7.765616E+00,1.145875E+05,8.079006E+04,4.164202E+01,8.023280E+01,1.154767E+06,8.368981E+05,5.449239E+00,8.390981E+00,9.657039E+04,8.782793E+04,1.436615E+00,4.561844E+00,5.384608E+04,4.803878E+04 
01:15:00,3.896002E+00,7.754972E+00,1.145878E+05,8.056734E+04,4.164311E+01,8.010173E+01,1.154770E+06,8.343938E+05,5.451747E+00,8.357123E+00,9.655956E+04,8.734397E+04,1.436615E+00,4.560155E+00,5.384608E+04,4.796829E+04 
01:20:00,3.896093E+00,7.744614E+00,1.145882E+05,8.034785E+04,4.164419E+01,7.997404E+01,1.154773E+06,8.319274E+05,5.454218E+00,8.323770E+00,9.654889E+04,8.686568E+04,1.436615E+00,4.558475E+00,5.384608E+04,4.789792E+04 
01:25:00,3.896184E+00,7.734546E+00,1.145885E+05,8.013160E+04,4.164528E+01,7.984974E+01,1.154776E+06,8.294993E+05,5.456652E+00,8.290930E+00,9.653837E+04,8.639318E+04,1.436615E+00,4.556806E+00,5.384608E+04,4.782765E+04 
01:30:00,3.896275E+00,7.724769E+00,1.145889E+05,7.991863E+04,4.164636E+01,7.972886E+01,1.154779E+06,8.271095E+05,5.459050E+00,8.258614E+00,9.652802E+04,8.592656E+04,1.436615E+00,4.555145E+00,5.384608E+04,4.775748E+04 
01:35:00,3.896366E+00,7.715081E+00,1.145892E+05,7.970666E+04,4.164745E+01,7.960931E+01,1.154782E+06,8.247347E+05,5.461412E+00,8.226617E+00,9.651782E+04,8.546353E+04,1.436615E+00,4.553494E+00,5.384608E+04,4.768741E+04 
01:40:00,3.896456E+00,7.705471E+00,1.145895E+05,7.949557E+04,4.164853E+01,7.949093E+01,1.154785E+06,8.223730E+05,5.463740E+00,8.194923E+00,9.650776E+04,8.500391E+04,1.436615E+00,4.551851E+00,5.384608E+04,4.761744E+04 
01:45:00,3.896547E+00,7.695934E+00,1.145899E+05,7.928529E+04,4.164961E+01,7.937364E+01,1.154788E+06,8.200237E+05,5.466034E+00,8.163524E+00,9.649786E+04,8.454761E+04,1.436615E+00,4.550216E+00,5.384608E+04,4.754756E+04 
01:50:00,3.896637E+00,7.686463E+00,1.145902E+05,7.907576E+04,4.165069E+01,7.925739E+01,1.154791E+06,8.176859E+05,5.468293E+00,8.132408E+00,9.648810E+04,8.409449E+04,1.436615E+00,4.548590E+00,5.384608E+04,4.747778E+04 
01:55:00,3.896727E+00,7.677055E+00,1.145906E+05,7.886693E+04,4.165177E+01,7.914212E+01,1.154794E+06,8.153593E+05,5.470520E+00,8.101564E+00,9.647848E+04,8.364442E+04,1.436615E+00,4.546971E+00,5.384608E+04,4.740808E+04 
02:00:00,3.896817E+00,7.667703E+00,1.145909E+05,7.865874E+04,4.165285E+01,7.902780E+01,1.154797E+06,8.130431E+05,5.472715E+00,8.070981E+00,9.646901E+04,8.319731E+04,1.436615E+00,4.545361E+00,5.384608E+04,4.733848E+04 
02:05:00,3.896907E+00,7.658519E+00,1.145913E+05,7.847817E+04,4.165393E+01,7.891576E+01,1.154800E+06,8.110103E+05,5.474877E+00,8.040807E+00,9.645967E+04,8.278052E+04,1.436615E+00,4.543759E+00,5.384608E+04,4.728183E+04 
02:10:00,3.896997E+00,7.649481E+00,1.145916E+05,7.829925E+04,4.165501E+01,7.880570E+01,1.154803E+06,8.089995E+05,5.477008E+00,8.010997E+00,9.645047E+04,8.236784E+04,1.436615E+00,4.542165E+00,5.384608E+04,4.722528E+04 
02:15:00,3.897087E+00,7.640596E+00,1.145920E+05,7.812206E+04,4.165609E+01,7.869760E+01,1.154806E+06,8.070110E+05,5.479109E+00,7.981536E+00,9.644140E+04,8.195908E+04,1.436615E+00,4.540578E+00,5.384608E+04,4.716881E+04 
02:20:00,3.897177E+00,7.631871E+00,1.145923E+05,7.794665E+04,4.165716E+01,7.859150E+01,1.154809E+06,8.050449E+05,5.481179E+00,7.952448E+00,9.643246E+04,8.155452E+04,1.436615E+00,4.538999E+00,5.384608E+04,4.711242E+04 
02:25:00,3.897266E+00,7.623307E+00,1.145927E+05,7.777306E+04,4.165824E+01,7.848743E+01,1.154812E+06,8.031015E+05,5.483219E+00,7.923728E+00,9.642365E+04,8.115410E+04,1.436615E+00,4.537428E+00,5.384608E+04,4.705613E+04 
02:30:00,3.897356E+00,7.614906E+00,1.145930E+05,7.760130E+04,4.165931E+01,7.838538E+01,1.154815E+06,8.011809E+05,5.485230E+00,7.895364E+00,9.641496E+04,8.075768E+04,1.436615E+00,4.535864E+00,5.384608E+04,4.699992E+04 
02:35:00,3.897445E+00,7.606555E+00,1.145933E+05,7.743012E+04,4.166038E+01,7.828396E+01,1.154818E+06,7.992675E+05,5.487212E+00,7.867225E+00,9.640640E+04,8.036379E+04,1.436615E+00,4.534308E+00,5.384608E+04,4.694379E+04 
02:40:00,3.897534E+00,7.598276E+00,1.145937E+05,7.725973E+04,4.166146E+01,7.818347E+01,1.154821E+06,7.973645E+05,5.489166E+00,7.839338E+00,9.639796E+04,7.997275E+04,1.436615E+00,4.532759E+00,5.384608E+04,4.688775E+04 
02:45:00,3.897623E+00,7.590056E+00,1.145940E+05,7.709001E+04,4.166253E+01,7.808388E+01,1.154824E+06,7.954716E+05,5.491092E+00,7.811701E+00,9.638964E+04,7.958452E+04,1.436615E+00,4.531218E+00,5.384608E+04,4.683179E+04 
02:50:00,3.897712E+00,7.581890E+00,1.145944E+05,7.692089E+04,4.166360E+01,7.798513E+01,1.154827E+06,7.935881E+05,5.492991E+00,7.784306E+00,9.638144E+04,7.919900E+04,1.436615E+00,4.529684E+00,5.384608E+04,4.677591E+04 
02:55:00,3.897801E+00,7.573772E+00,1.145947E+05,7.675232E+04,4.166467E+01,7.788717E+01,1.154830E+06,7.917135E+05,5.494863E+00,7.757144E+00,9.637336E+04,7.881611E+04,1.436615E+00,4.528158E+00,5.384608E+04,4.672012E+04 
03:00:00,3.897890E+00,7.565699E+00,1.145950E+05,7.658425E+04,4.166574E+01,7.778997E+01,1.154833E+06,7.898474E+05,5.496709E+00,7.730221E+00,9.636539E+04,7.843590E+04,1.436615E+00,4.526639E+00,5.384608E+04,4.666441E+04 
03:05:00,3.897978E+00,7.557668E+00,1.145954E+05,7.641665E+04,4.166681E+01,7.769348E+01,1.154837E+06,7.879895E+05,5.498529E+00,7.703495E+00,9.635753E+04,7.805792E+04,1.436615E+00,4.525128E+00,5.384608E+04,4.660878E+04 
03:10:00,3.898067E+00,7.549697E+00,1.145957E+05,7.624973E+04,4.166787E+01,7.759796E+01,1.154840E+06,7.861423E+05,5.500323E+00,7.677121E+00,9.634978E+04,7.768390E+04,1.436615E+00,4.523627E+00,5.384608E+04,4.655328E+04 
03:15:00,3.898155E+00,7.541776E+00,1.145961E+05,7.608338E+04,4.166894E+01,7.750325E+01,1.154843E+06,7.843044E+05,5.502091E+00,7.651059E+00,9.634215E+04,7.731338E+04,1.436615E+00,4.522135E+00,5.384608E+04,4.649787E+04 
03:20:00,3.898243E+00,7.533898E+00,1.145964E+05,7.591751E+04,4.167000E+01,7.740927E+01,1.154846E+06,7.824746E+05,5.503835E+00,7.625243E+00,9.633461E+04,7.694563E+04,1.436615E+00,4.520650E+00,5.384608E+04,4.644255E+04 
