Time,BASEMENT::Des Heat Load [W],BASEMENT:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT::Des Heat Mass Flow [kg/s],BASEMENT:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID::Des Heat Load [W],CORE_MID:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID::Des Heat Mass Flow [kg/s],CORE_MID:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:NEWYORK ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:NEWYORK ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s] 
00:05:00,0.000000E+00,3.962439E+04,0.000000E+00,3.466386E+00,0.000000E+00,4.755909E+04,0.000000E+00,4.160519E+00,0.000000E+00,4.951548E+05,0.000000E+00,4.331663E+01,4.583914E+04,5.368704E+04,1.550105E+00,4.696588E+00,1.245695E+04,6.195234E+03,4.211646E-01,5.420821E-01,8.363997E+03,4.179052E+03,2.827820E-01,3.656686E-01,1.220456E+04,5.912513E+03,4.126315E-01,5.173439E-01,8.345792E+03,4.741797E+03,2.821665E-01,4.149090E-01,1.426509E+05,6.325126E+04,4.822972E+00,5.534474E+00,9.405571E+04,4.248274E+04,3.179971E+00,3.717254E+00,1.412118E+05,6.075630E+04,4.774319E+00,5.316164E+00,9.590587E+04,4.956276E+04,3.242524E+00,4.336756E+00,2.251850E+04,6.730972E+03,7.613455E-01,5.889576E-01,1.466233E+04,4.508119E+03,4.957276E-01,3.944611E-01,2.243034E+04,6.507191E+03,7.583648E-01,5.693767E-01,1.491751E+04,5.184732E+03,5.043551E-01,4.536647E-01 
00:10:00,0.000000E+00,3.956537E+04,0.000000E+00,3.461219E+00,0.000000E+00,4.746460E+04,0.000000E+00,4.152250E+00,0.000000E+00,4.941312E+05,0.000000E+00,4.322706E+01,4.588703E+04,5.346061E+04,1.551724E+00,4.676778E+00,1.244725E+04,6.161941E+03,4.208369E-01,5.391681E-01,8.357745E+03,4.155354E+03,2.825707E-01,3.635943E-01,1.219474E+04,5.881439E+03,4.122996E-01,5.146242E-01,8.339541E+03,4.712729E+03,2.819552E-01,4.123648E-01,1.425243E+05,6.287344E+04,4.818693E+00,5.501406E+00,9.397481E+04,4.221868E+04,3.177236E+00,3.694142E+00,1.410846E+05,6.040013E+04,4.770017E+00,5.284991E+00,9.582497E+04,4.919154E+04,3.239788E+00,4.304266E+00,2.252442E+04,6.677772E+03,7.615455E-01,5.843017E-01,1.466616E+04,4.471711E+03,4.958570E-01,3.912747E-01,2.243628E+04,6.456138E+03,7.585655E-01,5.649087E-01,1.492133E+04,5.137606E+03,5.044843E-01,4.495404E-01 
00:15:00,0.000000E+00,3.950628E+04,0.000000E+00,3.456047E+00,0.000000E+00,4.736983E+04,0.000000E+00,4.143957E+00,0.000000E+00,4.931061E+05,0.000000E+00,4.313735E+01,4.593448E+04,5.323498E+04,1.553329E+00,4.657037E+00,1.243758E+04,6.128889E+03,4.205097E-01,5.362751E-01,8.351504E+03,4.131836E+03,2.823597E-01,3.615359E-01,1.218494E+04,5.850593E+03,4.119682E-01,5.119243E-01,8.333302E+03,4.683854E+03,2.817442E-01,4.098375E-01,1.423979E+05,6.249852E+04,4.814420E+00,5.468591E+00,9.389401E+04,4.195675E+04,3.174504E+00,3.671217E+00,1.409575E+05,6.004685E+04,4.765720E+00,5.254070E+00,9.574416E+04,4.882351E+04,3.237056E+00,4.272054E+00,2.253026E+04,6.624982E+03,7.617431E-01,5.796815E-01,1.466994E+04,4.435595E+03,4.959849E-01,3.881138E-01,2.244215E+04,6.405496E+03,7.587638E-01,5.604766E-01,1.492511E+04,5.090826E+03,5.046120E-01,4.454463E-01 
00:20:00,0.000000E+00,3.944714E+04,0.000000E+00,3.450871E+00,0.000000E+00,4.727490E+04,0.000000E+00,4.135648E+00,0.000000E+00,4.920804E+05,0.000000E+00,4.304759E+01,4.598133E+04,5.301026E+04,1.554913E+00,4.637375E+00,1.242792E+04,6.096102E+03,4.201831E-01,5.334053E-01,8.345273E+03,4.108515E+03,2.821490E-01,3.594946E-01,1.217515E+04,5.819999E+03,4.116373E-01,5.092464E-01,8.327072E+03,4.655197E+03,2.815336E-01,4.073292E-01,1.422717E+05,6.212677E+04,4.810151E+00,5.436053E+00,9.381330E+04,4.169712E+04,3.171775E+00,3.648492E+00,1.408305E+05,5.969669E+04,4.761427E+00,5.223421E+00,9.566344E+04,4.845920E+04,3.234327E+00,4.240168E+00,2.253602E+04,6.572634E+03,7.619377E-01,5.751000E-01,1.467366E+04,4.399792E+03,4.961107E-01,3.849803E-01,2.244792E+04,6.355293E+03,7.589591E-01,5.560828E-01,1.492883E+04,5.044483E+03,5.047377E-01,4.413903E-01 
00:25:00,0.000000E+00,3.938798E+04,0.000000E+00,3.445693E+00,0.000000E+00,4.717987E+04,0.000000E+00,4.127331E+00,0.000000E+00,4.910550E+05,0.000000E+00,4.295786E+01,4.602752E+04,5.278653E+04,1.556475E+00,4.617799E+00,1.241827E+04,6.063596E+03,4.198569E-01,5.305600E-01,8.339052E+03,4.085402E+03,2.819386E-01,3.574715E-01,1.216538E+04,5.789671E+03,4.113070E-01,5.065918E-01,8.320851E+03,4.626772E+03,2.813233E-01,4.048412E-01,1.421456E+05,6.175839E+04,4.805887E+00,5.403808E+00,9.373267E+04,4.143991E+04,3.169049E+00,3.625979E+00,1.407037E+05,5.934981E+04,4.757139E+00,5.193059E+00,9.558281E+04,4.809890E+04,3.231601E+00,4.208634E+00,2.254168E+04,6.520753E+03,7.621292E-01,5.705593E-01,1.467733E+04,4.364316E+03,4.962346E-01,3.818754E-01,2.245361E+04,6.305548E+03,7.591512E-01,5.517290E-01,1.493249E+04,4.998619E+03,5.048614E-01,4.373762E-01 
00:30:00,0.000000E+00,3.932880E+04,0.000000E+00,3.440513E+00,0.000000E+00,4.708479E+04,0.000000E+00,4.119011E+00,0.000000E+00,4.900303E+05,0.000000E+00,4.286818E+01,4.607305E+04,5.256382E+04,1.558015E+00,4.598314E+00,1.240864E+04,6.031387E+03,4.195313E-01,5.277406E-01,8.332839E+03,4.062507E+03,2.817286E-01,3.554674E-01,1.215563E+04,5.759625E+03,4.109771E-01,5.039617E-01,8.314640E+03,4.598594E+03,2.811133E-01,4.023746E-01,1.420196E+05,6.139352E+04,4.801626E+00,5.371872E+00,9.365212E+04,4.118522E+04,3.166326E+00,3.603686E+00,1.405770E+05,5.900635E+04,4.752855E+00,5.162997E+00,9.550225E+04,4.774281E+04,3.228877E+00,4.177466E+00,2.254725E+04,6.469356E+03,7.623176E-01,5.660609E-01,1.468093E+04,4.329179E+03,4.963565E-01,3.788000E-01,2.245920E+04,6.256276E+03,7.593403E-01,5.474166E-01,1.493608E+04,4.953261E+03,5.049831E-01,4.334065E-01 
00:35:00,0.000000E+00,3.931281E+04,0.000000E+00,3.439112E+00,0.000000E+00,4.706334E+04,0.000000E+00,4.117130E+00,0.000000E+00,4.897529E+05,0.000000E+00,4.284387E+01,4.611794E+04,5.240128E+04,1.559533E+00,4.584090E+00,1.240926E+04,6.008216E+03,4.195522E-01,5.257121E-01,8.333237E+03,4.045453E+03,2.817421E-01,3.539745E-01,1.215625E+04,5.738600E+03,4.109982E-01,5.021211E-01,8.315038E+03,4.576311E+03,2.811267E-01,4.004240E-01,1.420269E+05,6.111995E+04,4.801876E+00,5.347924E+00,9.365684E+04,4.098957E+04,3.166485E+00,3.586559E+00,1.405844E+05,5.875421E+04,4.753105E+00,5.140924E+00,9.550697E+04,4.744759E+04,3.229037E+00,4.151626E+00,2.255273E+04,6.425463E+03,7.625029E-01,5.622192E-01,1.468448E+04,4.298902E+03,4.964763E-01,3.761500E-01,2.246470E+04,6.214494E+03,7.595263E-01,5.437596E-01,1.493962E+04,4.912950E+03,5.051028E-01,4.298783E-01 
00:40:00,0.000000E+00,3.929747E+04,0.000000E+00,3.437767E+00,0.000000E+00,4.704368E+04,0.000000E+00,4.115407E+00,0.000000E+00,4.894945E+05,0.000000E+00,4.282123E+01,4.616217E+04,5.224166E+04,1.561029E+00,4.570123E+00,1.240988E+04,5.985304E+03,4.195732E-01,5.237064E-01,8.333635E+03,4.028589E+03,2.817555E-01,3.524982E-01,1.215687E+04,5.717815E+03,4.110192E-01,5.003014E-01,8.315436E+03,4.554256E+03,2.811402E-01,3.984935E-01,1.420343E+05,6.084943E+04,4.802125E+00,5.324244E+00,9.366157E+04,4.079610E+04,3.166645E+00,3.569623E+00,1.405918E+05,5.850498E+04,4.753355E+00,5.119107E+00,9.551170E+04,4.715635E+04,3.229197E+00,4.126134E+00,2.255813E+04,6.382014E+03,7.626853E-01,5.584164E-01,1.468796E+04,4.268934E+03,4.965942E-01,3.735271E-01,2.247011E+04,6.173141E+03,7.597093E-01,5.401402E-01,1.494311E+04,4.873130E+03,5.052205E-01,4.263933E-01 
00:45:00,0.000000E+00,3.928230E+04,0.000000E+00,3.436438E+00,0.000000E+00,4.702468E+04,0.000000E+00,4.113741E+00,0.000000E+00,4.892437E+05,0.000000E+00,4.279925E+01,4.620576E+04,5.208378E+04,1.562503E+00,4.556309E+00,1.241050E+04,5.962528E+03,4.195941E-01,5.217126E-01,8.334033E+03,4.011834E+03,2.817690E-01,3.510315E-01,1.215749E+04,5.697147E+03,4.110402E-01,4.984922E-01,8.315834E+03,4.532348E+03,2.811536E-01,3.965758E-01,1.420417E+05,6.058073E+04,4.802374E+00,5.300723E+00,9.366629E+04,4.060401E+04,3.166805E+00,3.552809E+00,1.405992E+05,5.825743E+04,4.753605E+00,5.097438E+00,9.551642E+04,4.686822E+04,3.229356E+00,4.100916E+00,2.256343E+04,6.338882E+03,7.628646E-01,5.546413E-01,1.469139E+04,4.239192E+03,4.967102E-01,3.709241E-01,2.247543E+04,6.132090E+03,7.598893E-01,5.365474E-01,1.494653E+04,4.833715E+03,5.053363E-01,4.229436E-01 
00:50:00,0.000000E+00,3.926728E+04,0.000000E+00,3.435122E+00,0.000000E+00,4.700621E+04,0.000000E+00,4.112122E+00,0.000000E+00,4.889990E+05,0.000000E+00,4.277782E+01,4.624872E+04,5.192748E+04,1.563955E+00,4.542632E+00,1.241112E+04,5.939868E+03,4.196151E-01,5.197290E-01,8.334431E+03,3.995174E+03,2.817824E-01,3.495732E-01,1.215811E+04,5.676576E+03,4.110612E-01,4.966914E-01,8.316231E+03,4.510575E+03,2.811671E-01,3.946699E-01,1.420490E+05,6.031362E+04,4.802624E+00,5.277342E+00,9.367101E+04,4.041316E+04,3.166965E+00,3.536103E+00,1.406066E+05,5.801134E+04,4.753855E+00,5.075897E+00,9.552115E+04,4.658305E+04,3.229516E+00,4.075956E+00,2.256865E+04,6.296041E+03,7.630410E-01,5.508919E-01,1.469477E+04,4.209661E+03,4.968243E-01,3.683395E-01,2.248067E+04,6.091319E+03,7.600663E-01,5.329790E-01,1.494990E+04,4.794686E+03,5.054502E-01,4.195279E-01 
